,Vazão de 5 L/min,Vazão de 5 L/min,Vazão de 5 L/min,Vazão de 10 L/min,Vazão de 10 L/min,Vazão de 10 L/min,Vazão de 15 L/min,Vazão de 15 L/min,Vazão de 15 L/min,Vazão de 20 L/min,Vazão de 20 L/min,Vazão de 20 L/min,Vazão de 30 L/min,Vazão de 30 L/min,Vazão de 30 L/min,Vazão de 40 L/min,Vazão de 40 L/min,Vazão de 40 L/min
Acessórios,ΔH1 (mm),ΔH2 (mm),ΔH3 (mm),ΔH1 (mm),ΔH2 (mm),ΔH3 (mm),ΔH1 (mm),ΔH2 (mm),ΔH3 (mm),ΔH1 (mm),ΔH2 (mm),ΔH3 (mm),ΔH1 (mm),ΔH2 (mm),ΔH3 (mm),ΔH1 (mm),ΔH2 (mm),ΔH3 (mm)
Joelho 90⁰ (DN 20 mm),58,60,60,178,188,182,371,399,387,685,680,690,1575,1545,1553,-,-,-
Ampliação (DN 20 mm > 26 mm),23,25,25,60,73,60,129,139,129,230,233,242,523,523,530,-,-,-
Cotovelo 3/4 (DN 25 mm),24,27,27,70,79,70,160,174,165,297,297,296,670,670,673,-,-,-
Curva 90⁰ (DN 25 mm),10,12.1,12.1,17,26,22,38,46,40,66,77,68,150,160,148,-,-,-
Ampliação (DN 25 mm > 32 mm),6,7,7,14,17,13,28,35,30,57,57,57,135,135,133,-,-,-
Cotovelo (DN 32 mm),7,8,8,22,25,23,42,49,48,87,87,89,207,207,207,-,-,-
Redução (DN 32 mm > 20 mm),43,45,45,128,136,133,267,288,282,495,492,499,1106,1100,1112,-,-,-
Tê (DN 20 mm),50,52,52,149,156,151,306,329,318,562,563,569,1255,1265,1257,-,-,-
Ampliação (DN 20 mm > 32 mm),15,17,17,45,42,46,102,111,105,195,197,199,455,455,454,-,-,-
"Válvula gaveta (1"")",8,6,6,5,12,11,18,18,14,21,25,20,62,62,51,-,-,-
Redução (DN 32 mm > 25 mm),11,7,7,32,39,35,68,79,71,128,133,129,290,290,293,-,-,-
Redução (DN 25 mm > 20 mm),35,38,38,104,115,103,223,241,227,410,413,414,922,922,924,-,-,-
Curva 90⁰ (DN 20 mm),17,18,18,48,53,47,96,101,98,170,170,172,370,370,370,-,-,-
Tubo reto (DN 20 mm),8,12,12,13,20,18,28,32,31,55,57,51,104,104,100,170,170,169
Tubo reto (DN 32 mm),3,3,3,8,7,7,9,10,9,19,19,20,43,43,42,71,71,72
