tempo (min),P1 (mL),P2 (mL),P3 (mL)
0,500,500,500
1,485,485,485
2,475,480,475
3,460,470,455
4,455,460,440
5,435,450,425
6,425,440,410
7,415,430,390
8,400,425,380
9,390,415,365
10,380,405,355
11,370,400,345
12,360,390,335
13,350,385,330
14,345,380,325
15,335,370,315
16,325,365,310
18,310,350,300
20,295,340,285
22,285,330,275
24,270,320,265
26,260,310,255
28,250,300,245
30,245,295,230
32,235,285,225
34,230,280,215
36,225,275,205
38,220,265,195
40,210,260,185
42,205,255,180
44,200,250,170
46,195,245,163
50,185,235,155
55,175,225,150
60,165,215,150
65,155,205,145
70,150,198,140
75,140,180,140
80,130,180,135
95,125,178,130
100,120,165,130
100,120,165,130
