,Area,Perim.,Dmax,FeretX,FeretY,FeretAngle,Dmin
1,0.046724202,0.788659046,0.298455935,320.500000000,396.833343506,26.869850190,0.198770403
2,0.045363303,0.780810212,0.295485665,324.666656494,311.666656494,38.659749204,0.196792216
3,0.089819341,1.211432129,0.521321751,350.202697754,287.136749268,46.665551090,0.218925483
4,0.044909670,0.763812982,0.267272820,333.500000000,231.166671753,30.311229882,0.217881967
5,0.044456037,0.754048669,0.263856349,359.000000000,184.833328247,95.403740091,0.215096845
6,0.032661578,0.677534514,0.271691598,286.666656494,357.500000000,28.909099478,0.151140157
7,0.046724202,0.781038776,0.290051736,320.839294434,397.616546631,28.269476124,0.203531942
8,0.039466074,0.717601790,0.266493347,326.333343506,405.500000000,131.760199185,0.187000806
9,0.045363303,0.757863590,0.276508778,337.087738037,399.139831543,37.890210055,0.203320444
10,0.068952221,0.958228634,0.349612452,348.166656494,383.833343506,167.092625939,0.257074511
11,0.059425927,0.860134756,0.290496552,351.000000000,415.500000000,141.449508073,0.256735307
12,0.083922111,1.113401190,0.456501846,357.000000000,442.000000000,36.780828813,0.234607348
13,0.069859487,1.021259419,0.418723259,294.666656494,482.666656494,172.694240467,0.215192017
14,0.045816936,0.820122934,0.336255905,320.166656494,489.166656494,79.045937357,0.172810048
15,0.084375744,1.069457140,0.411483329,356.000000000,473.000000000,100.437475351,0.261143016
16,0.048538735,0.801671389,0.292462817,335.833343506,563.333312988,84.427870200,0.215107194
17,0.042187872,0.735586282,0.248898156,336.785766602,626.960632324,8.830456652,0.219063844
18,0.076210350,0.977683003,0.330815612,314.000000000,647.000000000,56.821488341,0.291162221
19,0.055796863,0.864819507,0.320444644,336.500000000,646.333312988,140.844541416,0.226223932
20,0.069859487,1.013618387,0.412239031,304.255767822,681.454772949,25.901330526,0.218241655
21,0.075756717,0.991118211,0.364868388,492.166656494,470.166656494,19.316298204,0.262076768
22,0.059425927,0.863887947,0.300873449,517.833312988,403.333343506,109.290151365,0.247994868
23,0.039012441,0.710683022,0.233237714,510.666656494,368.833343506,107.475699351,0.219232299
24,0.076663983,1.015196700,0.381916007,495.841827393,390.781127930,12.718415475,0.258638199
25,0.039919707,0.737511005,0.277450921,481.166656494,414.666656494,176.332167294,0.187893163
26,0.078024882,1.011755628,0.380621735,469.500000000,444.333343506,70.382131542,0.257761702
27,0.036744276,0.695253772,0.261553442,449.333343506,437.500000000,71.811029665,0.177127196
28,0.056704129,0.849428519,0.281363756,440.972686768,412.681671143,69.186700895,0.259346791
29,0.030847046,0.667662765,0.269230705,452.190368652,415.762847900,37.887552298,0.146913741
30,0.062147726,0.911427986,0.340852554,439.000000000,384.333343506,91.193525836,0.234654998
31,0.058065028,0.962132992,0.410441151,422.666656494,429.666656494,139.559989324,0.179420954
32,0.057611395,0.859099013,0.315111614,431.833343506,463.333343506,75.650715886,0.228528274
33,0.063508625,0.913623804,0.335110562,428.333343506,496.333343506,126.384314146,0.243032103
34,0.067591322,0.940348603,0.344913414,334.500000000,549.000000000,98.880659151,0.250141422
35,0.039919707,0.715966115,0.262611328,337.000000000,627.666687012,9.335006131,0.190453512
36,0.060333193,0.886568586,0.325187135,314.333343506,646.000000000,53.880614145,0.235835341
37,0.058972294,0.888784693,0.326000338,346.666656494,567.833312988,125.247606156,0.236425100
38,0.049446001,0.806985625,0.295996609,371.166656494,593.000000000,112.567079995,0.214665506
39,0.058972294,0.860435314,0.275536689,357.333343506,604.000000000,104.931330114,0.272402621
40,0.068952221,0.964081891,0.369175026,335.544738770,618.917358398,56.281478560,0.237621869
